TITLE="Graphics"
VARIABLES= "x", "T_CH", "Y_h_CH","Y_h2_CH","Y_o_CH","Y_o2_CH","Y_oh_CH","Y_h2o_CH","Y_n2_CH","Y_ho2_CH","Y_h2o2_CH","Y_co_CH","Y_co2_CH","Y_ch2o_CH","Y_hco_CH","Y_ch3oh_CH","Y_ch2oh_CH","Y_ch3o_CH","Y_ch3o2_CH","Y_ch4_CH","Y_ch3_CH","Y_ch2_CH","Y_ch2(s)_CH","Y_c2h6_CH","Y_c2h5o2_CH","Y_c2h5_CH","Y_c2h4_CH","Y_c2h3_CH","Y_c2h2_CH","Y_ch2cho_CH","Y_ch2co_CH","Y_hcco_CH","Y_nc3h7_CH","Y_c3h6_CH","Y_c3h5-a_CH","Y_c3h5o_CH","Y_c3h4-a_CH","Y_nc3h7o2_CH","Y_c2h3cho_CH","Y_nc7h16_CH","Y_c7h15_CH","Y_c7h15o2_CH","Y_c7h14ooh_CH","Y_c7h14_CH","Y_c7h14ooho2_CH","Y_nc7ket_CH","Y_c7h14o_CH","Y_nc3h7cho_CH"
0.1114583,308.4017,4.159566E-11,0.004439532,2.016169E-11,0.2045126,2.085998E-10,0.001106881,0.7708622,2.491693E-6,2.907044E-6,2.797543E-4,3.116123E-5,4.986256E-6,7.285287E-15,5.209261E-7,4.480265E-16,1.653155E-9,5.485138E-7,2.074947E-5,4.631362E-12,1.477713E-17,1.23714E-23,1.739384E-6,5.070865E-9,7.803275E-14,5.580241E-5,4.094229E-16,6.729947E-6,9.155693E-8,1.856775E-7,3.616461E-16,5.119322E-17,3.531828E-6,7.582045E-10,1.427513E-9,4.745943E-8,3.977512E-11,2.139388E-8,0.01866736,6.07519E-13,6.242284E-8,8.425745E-17,9.061849E-9,8.986088E-12,8.148657E-11,5.95195E-10,2.52497E-9
0.1125,309.974,6.430414E-11,0.004645675,2.440086E-11,0.204341,3.190847E-10,0.001301023,0.770554,2.986052E-6,3.459585E-6,3.333131E-4,3.908397E-5,6.259543E-6,1.374117E-14,6.569623E-7,8.859341E-16,2.504638E-9,7.083217E-7,2.439602E-5,7.932673E-12,2.245551E-17,3.370349E-23,2.212417E-6,7.38541E-9,1.338855E-13,6.760763E-5,7.864897E-16,8.244492E-6,1.190324E-7,2.411081E-7,6.506444E-16,9.973079E-17,4.558456E-6,9.956283E-10,1.987992E-9,6.179119E-8,6.128641E-11,3.007287E-8,0.0186642,9.463467E-13,9.243093E-8,1.463028E-16,1.432936E-8,1.60969E-11,1.374477E-10,9.655737E-10,3.62596E-9
0.1135417,311.8479,9.975173E-11,0.004861622,2.974472E-11,0.2041413,4.886695E-10,0.001529869,0.7702123,3.584439E-6,4.118447E-6,3.974194E-4,4.907953E-5,7.865697E-6,2.605358E-14,8.294922E-7,1.756162E-15,3.787181E-9,9.166368E-7,2.870039E-5,1.370005E-11,3.449168E-17,9.337028E-23,2.817902E-6,1.086369E-8,2.293806E-13,8.197802E-5,1.522499E-15,1.010928E-5,1.549886E-7,3.135589E-7,1.199469E-15,1.963383E-16,5.892259E-6,1.313382E-9,2.771251E-9,8.057811E-8,9.544044E-11,4.23731E-8,0.01866084,1.480829E-12,1.371592E-7,2.617703E-16,2.273363E-8,2.895737E-11,2.326541E-10,1.571767E-9,5.220367E-9
0.1145833,314.0777,1.551334E-10,0.005087626,3.65543E-11,0.2039084,7.483313E-10,0.001799121,0.7698327,4.308907E-6,4.902193E-6,4.740346E-4,6.166654E-5,9.887006E-6,4.952331E-14,1.047855E-6,3.48235E-15,5.711087E-9,1.187911E-6,3.377358E-5,2.382846E-11,5.358473E-17,2.626312E-22,3.591431E-6,1.613087E-8,3.913271E-13,9.944071E-5,2.967275E-15,1.240118E-5,2.019415E-7,4.080516E-7,2.256506E-15,3.903415E-16,7.621601E-6,1.74028E-9,3.861036E-9,1.051535E-7,1.500935E-10,5.976172E-8,0.01865725,2.325977E-12,2.034488E-7,4.832723E-16,3.610343E-8,5.214124E-11,3.941083E-10,2.560898E-9,7.523329E-9
0.115625,316.7261,2.416881E-10,0.005323901,4.533595E-11,0.2036365,1.14456E-9,0.002115223,0.7694103,5.186214E-6,5.831867E-6,5.65439E-4,7.74821E-5,1.242382E-5,9.414866E-14,1.32356E-6,6.89434E-15,8.58379E-9,1.540731E-6,3.974237E-5,4.169677E-11,8.426806E-17,7.49146E-22,4.577414E-6,2.416906E-8,6.6314E-13,1.206182E-4,5.817842E-15,1.521212E-5,2.630996E-7,5.309816E-7,4.313118E-15,7.832623E-16,9.858418E-6,2.316545E-9,5.369401E-9,1.372224E-7,2.382499E-10,8.427137E-8,0.0186534,3.665237E-12,3.010187E-7,9.223822E-16,5.729986E-8,9.376924E-11,6.668797E-10,4.169127E-9,1.083964E-8
0.1166667,319.8651,3.769195E-10,0.005570601,5.680949E-11,0.2033191,1.746509E-9,0.002485391,0.7689395,6.248809E-6,6.93102E-6,6.742648E-4,9.730369E-5,1.559743E-5,1.786278E-13,1.670695E-6,1.36035E-14,1.285084E-8,1.998883E-6,4.675054E-5,7.333309E-11,1.342778E-16,2.164628E-21,5.830912E-6,3.652886E-8,1.11367E-12,1.462406E-4,1.146725E-14,1.865124E-5,3.425268E-7,6.904388E-7,8.338939E-15,1.585437E-15,1.274359E-5,3.098952E-9,7.444174E-9,1.789508E-7,3.815582E-10,1.186999E-7,0.01864923,5.791519E-12,4.434603E-7,1.824064E-15,9.077081E-8,1.681566E-10,1.1257E-9,6.773109E-9,1.559836E-8
0.1177083,323.5763,5.878987E-10,0.005827816,7.201197E-11,0.2029484,2.655878E-9,0.002917614,0.7684144,7.536018E-6,8.225615E-6,8.035273E-4,1.220729E-4,1.955298E-5,3.375051E-13,2.106355E-6,2.670068E-14,1.91517E-8,2.592627E-6,5.495966E-5,1.294136E-10,2.169603E-16,6.323095E-21,7.419681E-6,5.566578E-8,1.849631E-12,1.771568E-4,2.268779E-14,2.28471E-5,4.45331E-7,8.965778E-7,1.621439E-14,3.233826E-15,1.645311E-5,4.168549E-9,1.027693E-8,2.330697E-7,6.161969E-10,1.668696E-7,0.01864468,9.172465E-12,6.494231E-7,3.744576E-15,1.433805E-7,3.003237E-10,1.893553E-9,1.096912E-8,2.239899E-8
0.1182292,325.6825,7.373837E-10,0.005960415,8.158705E-11,0.2027397,3.281604E-9,0.003160445,0.7681289,8.282188E-6,8.957172E-6,8.771504E-4,1.367481E-4,2.189027E-5,4.649892E-13,2.365308E-6,3.749415E-14,2.341003E-8,2.955006E-6,5.958478E-5,1.732806E-10,2.781138E-16,1.096867E-20,8.371557E-6,6.925225E-8,2.387234E-12,1.949793E-4,3.214002E-14,2.528685E-5,5.079421E-7,1.022003E-6,2.282612E-14,4.659677E-15,1.870064E-5,4.855613E-9,1.207037E-8,2.660851E-7,7.907162E-10,1.980821E-7,0.01864223,1.159468E-11,7.857679E-7,5.462709E-15,1.808515E-7,4.044799E-10,2.469469E-9,1.401938E-8,2.688157E-8
0.11875,327.9759,9.249439E-10,0.006095669,9.27755E-11,0.2025135,4.053064E-9,0.003422975,0.7678266,9.106956E-6,9.751256E-6,9.575236E-4,1.532129E-4,2.450714E-5,6.404199E-13,2.656465E-6,5.263554E-14,2.860816E-8,3.370022E-6,6.459604E-5,2.325281E-10,3.581854E-16,1.912111E-20,9.447907E-6,8.649675E-8,3.076949E-12,2.145972E-4,4.560858E-14,2.798846E-5,5.795558E-7,1.165365E-6,3.216488E-14,6.739566E-15,2.12621E-5,5.672116E-9,1.417732E-8,3.03894E-7,1.01964E-9,2.353937E-7,0.01863963,1.467679E-11,9.521978E-7,8.083311E-15,2.288341E-7,5.4836E-10,3.235738E-9,1.798464E-8,3.230616E-8
0.1192708,330.4711,1.160893E-9,0.006233563,1.058998E-10,0.2022684,5.003913E-9,0.003706502,0.7675066,1.001851E-5,1.061203E-5,0.00104519,1.716651E-4,2.743299E-5,8.816951E-13,2.983437E-6,7.386352E-14,3.493755E-8,3.844841E-6,7.0021E-5,3.12685E-10,4.636102E-16,3.350409E-20,1.066362E-5,1.083904E-7,3.958067E-12,2.361698E-4,6.487079E-14,3.097693E-5,6.613611E-7,1.329021E-6,4.54038E-14,9.7836E-15,2.417779E-5,6.644459E-9,1.664515E-8,3.471384E-7,1.319962E-9,2.799269E-7,0.01863686,1.860605E-11,1.154861E-6,1.212807E-14,2.901607E-7,7.466255E-10,4.253102E-9,2.31291E-8,3.886017E-8
